name,real_name,full_name,alignment,creator,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,avg_stats
Star Sapphire,Carol Ferris,,Good,DC Comics,90,55,75,70,100,70,77
Stardust,,,Good,Marvel Comics,95,85,100,100,100,85,94
Starfire (Titans),Koriand'r,Koriand'r,Good,DC Comics,90,50,40,70,75,90,69
Starfire,Koriand'r,Koriand'r,Good,DC Comics,80,90,100,85,100,75,88
Stargirl,Courtney Whitmore,Courtney Whitmore,Good,DC Comics,80,80,50,90,100,70,78
Thundra,Thundra,Thundra,Good,Marvel Comics,70,80,30,65,25,55,54
Starling,Evelyn Crawford,,Good,DC Comics,85,10,15,25,20,85,40
Starro The Star Conqueror,Star-Ro,,,DC Comics,90,50,70,100,100,80,82
Static,Virgil Hawkins,Virgil Ovid Hawkins,Good,DC Comics,85,10,40,50,90,40,53
Steel (1997),John Irons,John Henry Irons,Good,DC Comics,85,30,30,75,65,65,58
Steel Serpent (MCU),Davos,Davos,Bad,Marvel Comics,70,15,50,40,45,100,53
Steel Serpent,Davos,,Bad,Marvel Comics,80,30,65,50,80,70,63
Steel,John Irons,John Henry Irons,Good,DC Comics,90,80,55,90,65,65,74
Stephanie Powell,Stephanie Powell,Stephanie Powell,Good,ABC Studios,85,10,55,10,25,10,33
Steppenwolf,,,Bad,DC Comics,95,100,85,100,100,100,97
Steve Trevor,Steve Trevor,Stephen Rockwell Trevor,Good,DC Comics,95,10,15,10,15,70,36
Stevie Hunter,Stephanie Hunter,Stephanie Hunter,Good,Marvel Comics,0,0,0,0,0,0,0
T-X,Cyberdyne Systems Series X Terminator,Cyberdyne Systems Series X Terminator,Bad,Dark Horse Comics,90,65,30,85,100,80,75
Stewie,Stewie Griffin,Stewart Gilligan Griffin,Neutral,,100,0,5,10,100,70,48
Stick (MCU),Unknown,Unknown,Neutral,Marvel Comics,85,10,40,40,50,100,54
Stompa,,,Bad,DC Comics,95,100,85,100,100,95,96
Storm (FOX),Ororo Munroe,,Good,Marvel Comics,75,25,65,45,100,70,63
Storm Shadow,Tomisaburo Arashikage,,Bad,IDW Publishing,80,15,35,50,45,100,54
Superman (2006),Kal-El,Kal-El,Good,DC Comics,85,100,100,100,100,75,93
Storm,Ororo Munroe,Ororo Munroe,Good,Marvel Comics,90,10,45,30,90,75,57
Strange Visitor Superman,Kal-El,Clark Joseph Kent,Good,DC Comics,90,100,100,100,100,90,97
Strong Guy,Guido Carosella,Guido Carosella,Good,Marvel Comics,0,0,0,0,0,0,0
Sunspot,Roberto DaCosta,Roberto DaCosta,Good,Marvel Comics,80,65,35,25,100,70,63
Super Adaptoid,,,Bad,Marvel Comics,100,65,60,65,100,70,77
Super Greg,Greg,Greg,Good,,0,0,0,0,0,0,0
T-850,Cyberdyne Systems Series 850 Terminator,Cyberdyne Systems Series 850 Terminator,Bad,Dark Horse Comics,90,80,25,90,85,75,74
Superboy-Prime,Kal-El,Kal-El,Bad,DC Comics,95,100,100,100,100,85,97
Supergirl (Injustice),Kara Zor-El,Kara Zor-El,Good,DC Comics,90,100,100,100,100,95,98
Supergirl,Kara Zor-El,Kara Zor-El,Good,DC Comics,95,100,100,100,100,75,95
Superking,Bender,Bender Bending Rodriguez,Neutral,Matt Groening,75,80,40,90,100,60,74
Superman (Post-Crisis),Kal-El,Clark Joseph Kent (Kal-El),Good,DC Comics,95,100,100,100,100,85,97
Superman (Smallville),Kal-El,,Good,DC Comics,95,100,100,100,100,85,97
Swamp Thing (New 52),Alec Holland,,Good,DC Comics,60,95,30,100,100,55,73
Swamp Thing,Alec Holland,Alec Holland,Bad,DC Comics,95,95,25,100,100,55,78
Swarm,Fritz von Meyer,Fritz von Meyer,Bad,Marvel Comics,90,20,50,90,40,35,54
Sylar,Gabriel Gray,Gabriel Gray,Bad,NBC - Heroes,90,10,45,25,80,85,56
Symbiote Wolverine,Logan,James Logan Howlett,Neutral,Marvel Comics,60,70,75,100,100,100,84
Synch,Everett Thomas,Everett Thomas,Good,Marvel Comics,90,65,25,30,75,55,57
T-1000,Cyberdyne Systems Series 1000 Terminator,Cyberdyne Systems Series 1000 Terminator,Bad,Dark Horse Comics,90,35,35,100,100,75,73
T-800,Cyberdyne Systems Series 800 Terminator Model 101,Cyberdyne Systems Series 800 Terminator Model 101,Bad,Dark Horse Comics,90,35,15,60,75,65,57
Talia Al Ghul (CW),Talia Al Ghul,Talia Al Ghul,Bad,,85,15,50,45,50,100,58
Taserface,,,,Marvel Comics,90,10,15,15,15,20,28
Taskmaster,Tony Masters,,Bad,Marvel Comics,90,10,50,20,65,100,56
Tempest,Angel Salvadore Bohusk,Angel Salvadore Bohusk,Good,Marvel Comics,70,10,45,30,65,60,47
Thanos,Thanos,Thanos,Bad,Marvel Comics,100,100,75,100,100,100,96
The Batman Of Zur-En-Arrh,Tlano,Tlano,Good,DC Comics,100,30,45,50,60,100,64
The Beyonder (Earth-1298),Beyonder,Beyonder,Good,Marvel Comics,100,100,100,100,100,50,92
The Boy,Number Five,Five Hagreeves,Good,Dark Horse Comics,85,5,10,10,100,85,49
The Cape,Vince Faraday,Vince Faraday,Good,,70,10,25,30,20,65,37
The Comedian,Edward Morgen Blake,Edward Morgen Blake,Neutral,DC Comics,80,15,15,10,10,80,35
The Crow,Eric Draven,Eric Draven,Good,Image Comics,75,30,50,100,100,100,76
The Executioner (MCU),Skurge,Skurge,Neutral,Marvel Comics,70,65,60,75,70,85,71
The False Mandarin,Trevor Slattery,,Bad,Marvel Comics,90,0,20,15,20,20,28
The Flash (CW),Jay Garrick,Jay Garrick,Good,DC Comics,85,30,100,70,100,65,75
The Flash,Barry Allen,Bartholomew Henry Allen,Good,DC Comics,95,50,100,60,100,60,78
The Golden Master,Overlord,Overlord,Bad,,100,100,100,100,100,100,100
The Goon,,,Neutral,Dark Horse Comics,65,30,45,55,60,65,53
The Grandmaster (MCU),En Dwi Gast,,,Marvel Comics,100,30,25,40,95,55,58
The Great Devourer,The Great Devourer,The Great Devourer,Bad,,60,100,95,100,100,80,89
The Green Hornet,Britt Reid,Britt Reid,Good,,85,45,30,45,50,85,57
The Keeper,Norrin Radd,Norrin Radd,Good,Marvel Comics,75,100,100,100,100,75,92
The Lobster,Lobster Johnson,,Good,Dark Horse Comics,100,15,50,50,100,100,69
The Lord Of Light,R'hllor,,Good,George R. R. Martin,100,100,100,100,100,100,100
The One Below All,Unknown,,Bad,Marvel Comics,100,100,100,100,100,100,100
The One,,,,DC Comics,0,0,0,0,0,0,0
The Overlord (Garmadon),Overlord,Overlord,Bad,,100,100,100,100,100,100,100
The Overlord,Overlord,,Bad,,100,100,100,100,100,100,100
The Presence,Sergei Krylov,,,Marvel Comics,100,30,20,60,100,50,60
The Prince,Dastan,,Good,Ubisoft,90,15,40,50,100,100,66
The Punisher (War Zone),Frank Castle,,Good,Marvel Comics,90,15,25,45,50,100,54
The Question,Renee Montoya,Renee Maria Montoya,Good,DC Comics,95,10,25,30,15,80,43
The Ray (CW),Ray Terrill,Raymond Terrill,Good,DC Comics,75,70,95,100,100,75,86
The Rhino (SONY),Aleksei Sytsevich,,,Marvel Comics,70,35,55,45,45,55,51
The Rival (CW),Edward Clariss,Edward Clariss,Bad,DC Comics,75,30,95,70,100,80,75
The Rumor,Allison Hargreeves,,Good,Dark Horse Comics,80,0,25,30,100,45,47
The Scarecrow (Gotham),Jonathan Crane,Jonathan Crane,Bad,DC Comics,90,10,35,30,40,80,48
The Shocker (MCU),Herman Schultz,,Bad,Marvel Comics,85,10,25,70,60,60,52
The Smiling Knight,,,Bad,George R. R. Martin,75,10,40,40,15,95,46
The Thing (FOX),Ben Grimm,Benjamin Jacob Grimm,Good,Marvel Comics,70,80,50,90,65,95,75
The Thinker (CW),Clifford DeVoe,Clifford DeVoe,Bad,DC Comics,100,10,30,30,100,50,53
The Upgrade,Grey Trace,Grey Trace,Bad,,100,30,60,75,100,100,78
The Wasp,Janet van Dyne,Janet Van Dyne,Good,Marvel Comics,80,15,60,50,30,40,46
Thinker,Clifford DeVoe,,,DC Comics,100,10,20,80,80,65,59
Thor Girl,Tarene,Tarene,Good,Marvel Comics,90,85,70,85,100,70,83
Thor (Odin Force),Thor Odinson,Thor Odinson,Good,Marvel Comics,85,100,100,100,100,100,98
Throg,Simon Walterson,Simon Walterson,Good,Marvel Comics,95,30,100,75,100,80,80
Thunderbird III,Neal Shaara,Neal Shaara,Good,Marvel Comics,0,0,0,0,10,0,2
Thunderbird,John Proudstar,John Proudstar,Good,Marvel Comics,75,30,25,30,15,70,41
Thunderstrike,Eric Kevin Masterson,Eric Kevin Masterson,Good,Marvel Comics,80,80,70,85,40,70,71
Tigra,Greer Grant Nelson,Greer Grant Nelson,Good,Marvel Comics,80,30,55,40,35,90,55
Tinkerer,Phineas Mason,Phineas Mason,Bad,Marvel Comics,100,10,25,15,10,15,29
Titan,,,Good,HarperCollins,0,0,0,0,5,0,1
Toad (FOX),Mortimer Toynbee,Mortimer Toynbee,Bad,Marvel Comics,80,30,60,55,65,80,62
Toad,Mortimer Toynbee,Mortimer Toynbee,Neutral,Marvel Comics,75,35,60,55,70,30,54
Tobias Church (CW),Tobias Church,Tobias Church,Bad,,85,15,30,45,35,90,50
Tobias Whale (CW),Tobias Whale,Tobias Whale,Bad,,80,30,30,50,55,85,55
Tobirama Senju,Senju Tobirama,Senju Tobirama,Good,Shueisha,90,90,100,75,100,100,93
Tom Corsi,Thomas Corsi,Thomas Corsi,Good,Marvel Comics,0,0,0,0,0,0,0
Tomar-Re,Tomar-Re,,Good,DC Comics,95,55,100,75,100,85,85
Toxin,Eddie Brock,Edward Charles Allan Brock,Good,Marvel Comics,90,80,40,85,95,70,77
Toymaster,Hiro Okamura,,Good,DC Comics,100,10,20,50,60,40,47
Tracy Strauss,Tracy Strauss,Tracy Strauss,Good,NBC - Heroes,0,0,0,0,5,0,1
Trickster (CW),James Jesse,James Jesse,Bad,,100,10,15,20,30,35,35
Trickster II,Axel Walker,Axel Walker,Bad,DC Comics,100,10,15,15,50,100,48
Trickster,Giovanni Giuseppe,Giovanni Giuseppe,Neutral,DC Comics,90,10,65,25,50,65,51
Trigon,,,Bad,DC Comics,95,100,85,100,100,80,93
V,,,Neutral,DC Comics,90,15,50,55,50,95,59
Triplicate Girl,Luornu Durgo,Luornu Durgo,Good,DC Comics,80,10,25,40,45,40,40
Triton,Triton,,Good,Marvel Comics,80,65,50,65,35,55,58
True Form Oblivion,Oblivion,Oblivion,Neutral,Marvel Comics,100,100,100,100,100,100,100
Tsunade,,,Good,Shueisha,100,95,50,70,100,100,86
Turbo II,Mike Jeffries,Mike Jeffries,Good,Marvel Comics,0,0,0,0,0,0,0
Two-Face,Harvey Dent,Harvey Dent,Bad,DC Comics,85,10,15,15,30,70,38
Vagabond,Priscilla Lyons,Priscilla Lyons,Good,Marvel Comics,0,0,0,0,0,0,0
Typhoid Mary (MCU),Mary Walker,Mary Walker,Neutral,Marvel Comics,90,15,40,35,45,100,54
Typhoid Mary,Mary Walker,,,Marvel Comics,80,30,45,60,75,65,59
Uatu the Guardian,,,Good,DC Comics,0,0,0,0,0,0,0
Ubu,Ubu,,Bad,DC Comics,80,20,30,20,15,65,38
Ultimo,Doomsday Device,,Bad,Marvel Comics,50,100,50,100,100,100,83
Ultragirl,Tsu-Zana,Tsu-Zana,Good,Marvel Comics,75,80,35,70,35,80,63
Valerie Cooper,Dr. Valerie Cooper,Dr. Valerie Cooper,Good,Marvel Comics,0,0,0,0,0,0,0
Ultron (Final Form),,,Bad,Marvel Comics,100,100,95,100,100,100,99
Unicron,Unicron,Unicron,Bad,Hasbro,100,100,100,100,100,65,94
Union Jack,Lord James Montgomery Falsworth,Lord James Montgomery Falsworth,Good,Marvel Comics,90,10,30,25,25,100,47
Ursa Major,Mikhail Ursus,,Good,Marvel Comics,85,50,55,55,50,50,58
Utgard-Loki,,,Bad,Marvel Comics,75,80,25,85,85,65,69
Valerie Hart,,,Good,Team Epic TV,0,0,0,0,5,0,1
Valkyrie (MCU),Brunnhilde,,Good,Marvel Comics,90,95,85,95,95,55,86
Valkyrie,Brunnhilde,Brunnhilde,Good,Marvel Comics,80,60,70,80,100,90,80
Vampire Batman,Bruce Wayne,Bruce Thomas Wayne,Good,,100,40,50,50,100,100,73
Vandal Savage,Vander Adg,,,DC Comics,100,15,30,100,100,95,73
Vanisher,,,Bad,Marvel Comics,80,10,75,55,60,40,53
Vegeta,Vegeta IV,Prince Vegeta IV,Good,Shueisha,80,100,100,100,100,100,97
Venom 2099,Kron Stone,,Bad,Marvel Comics,90,40,40,65,100,75,68
Venom II,Angelo Fortunato,Angelo Fortunato,Bad,Marvel Comics,75,55,45,70,55,55,59
Venom III,MacDonald Gargan,MacDonald Gargan,Bad,Marvel Comics,80,75,35,90,75,55,68
Venom,Eddie Brock,Edward Charles Allan Brock,Bad,Marvel Comics,90,55,65,85,85,85,78
Venompool,Wade Wilson,,,Marvel Comics,85,55,65,100,100,100,84
Ventriloquist,Arnold Wesker,,Bad,DC Comics,85,10,15,15,20,25,28
Vergil,Vergil Sparda,,,Capcom,90,75,95,90,100,100,92
Vibe (CW),Cisco Ramon,,Bad,DC Comics,100,10,45,40,80,65,57
Vibe,Cisco Ramon,Francisco Paco Ramon,Good,DC Comics,75,10,15,30,100,30,43
Vicki Vale,Vicki Vale,Victoria Vale,Good,DC Comics,80,5,15,10,5,10,21
Vigilante (CW),Vincent Sobel,Vincent Sobel,Good,DC Comics,85,15,45,60,70,90,61
Vigilante,Adrian Chase,Adrian Allen Chase,Neutral,DC Comics,85,10,30,50,35,90,50
Vili,Vili,Vili Borson,Good,Marvel Comics,100,55,70,85,100,100,85
Violator,,,Bad,Image Comics,75,100,100,100,100,65,90
Violet Parr,Violet Parr,Violet Parr,Good,Dark Horse Comics,80,10,15,50,80,15,42
Virman Vundabar,,,Bad,DC Comics,95,10,20,20,25,100,45
Vision II,Vision,Vision,Good,Marvel Comics,0,0,0,0,0,0,0
Vision,Vision,Vision,Good,Marvel Comics,100,70,55,95,100,70,82
Warbird,Carol Danvers,Carol Susan Jane Danvers,Good,Marvel Comics,0,0,0,0,0,0,0
Vixen (CW),Amaya Jiwe,Amaya Jiwe,Good,DC Comics,85,50,65,55,80,95,72
Vixen II (CW),Mari,Mari Jiwe McCabe,Good,DC Comics,80,50,70,60,100,80,73
Vixen,Mari McCabe,Mari Jiwe McCabe,Good,DC Comics,75,40,50,50,60,25,50
Volstagg (MCU),Volstagg,Volstagg,Good,Marvel Comics,70,60,55,80,75,85,71
Warlock,Adam Warlock,Adam Warlock,Good,Marvel Comics,95,65,80,95,70,95,83
Vulture (MCU),Adrian Toomes,,Bad,Marvel Comics,85,45,60,55,60,75,63
Vulture,Adrian Toomes,Adrian Toomes,Bad,Marvel Comics,90,20,40,25,25,30,38
Walrus,Hubert Carpent,Hubert Carpent,Bad,Marvel Comics,75,30,10,50,10,20,33
War Machine II,Parnell Jacobs,Parnell Jacobs,Good,Marvel Comics,0,0,0,0,0,0,0
War Machine,James Rhodes,James Rupert Rhodes,Good,Marvel Comics,80,80,65,100,100,85,85
Wild Dog,Jack Wheeler,,Good,DC Comics,85,10,25,20,20,95,43
Warp,Emil LaSalle,Emil LaSalle,Bad,DC Comics,70,10,25,30,85,50,45
Warpath,James Proudstar,James Proudstar,Good,Marvel Comics,70,70,45,70,25,85,61
Watcher,Uatu,Uatu,Good,Marvel Comics,100,80,65,90,100,55,82
Weapon Hex,Laura Kinney,,,Marvel Comics,0,0,0,0,0,0,0
Weather Wizard (CW),Mark Mardon,Mark Mardon,Bad,,80,15,55,30,70,70,53
Wendigo,Wendigo,,,Marvel Comics,65,80,75,75,90,70,76
Wesker,Albert Wesker,Dr. Albert Wesker,Bad,Capcom,100,50,50,50,100,100,75
White Canary (CW),Sara Lance,,Good,DC Comics,100,20,100,50,55,100,71
White Canary,,,Bad,DC Comics,80,5,35,15,50,90,46
White Rabbit,Dr. Lorina Dodson,,Bad,Marvel Comics,90,10,35,30,55,100,53
White Wolf (MCU),James Buchanan Barnes,James Buchanan Barnes,Good,Marvel Comics,80,50,60,60,70,100,70
Wild Dog (CW),Rene Ramirez,Rene Ramirez,Good,DC Comics,80,15,35,45,40,90,51
Wildfire,Drake Burroughs,Drake Burroughs,Good,DC Comics,75,30,25,100,75,40,58
Will Solace,Will Solace,William Solace,Good,,80,65,60,50,75,75,68
William Stryker (FOX),"William Stryker, Jr.","William Stryker, Jr.",Bad,Marvel Comics,100,15,15,25,20,70,41
Willie Lumpkin,William Lumpkin,William Lumpkin,Good,Marvel Comics,0,0,0,0,0,0,0
Yellow Claw,,,Bad,Marvel Comics,0,0,0,0,0,0,0
Winter Soldier,Bucky Barnes,James Buchanan Barnes,Good,Marvel Comics,80,30,35,65,60,85,59
Witch King,Witch-King of Angmar,,Bad,J. R. R. Tolkien,65,20,65,90,100,100,73
Witchblade,Sara Pezzini,,Good,Marvel Comics,85,40,40,90,100,90,74
Wiz Kid,Takashi Matsuya,Takashi Matsuya,Good,Marvel Comics,0,0,0,0,0,0,0
Wizard,Bentley Wittman,Bentley Wittman,Bad,Marvel Comics,100,10,30,30,95,25,48
Yellowjacket II,Rita DeMara,Rita DeMara,Good,Marvel Comics,75,10,35,30,30,30,35
Wolfsbane,Rahne Sinclair,Rahne Sinclair,Good,Marvel Comics,70,15,35,40,25,40,38
Wolverine (EMH),James Howlett,James Logan Howlett,Good,Marvel Comics,85,30,50,100,45,100,68
Wolverine,Logan,James Howlett,Good,Marvel Comics,80,40,40,75,100,85,70
Wonder Girl (Titans),Donna Troy,Donna Troy,Good,DC Comics,100,95,65,65,70,100,83
Yellowjacket III,Darren Cross,Darren Cross,Bad,Marvel Comics,0,0,0,0,0,0,0
Wonder Girl,Diana Prince,Cassandra Cassie Elizabeth Sandsmark,Good,DC Comics,95,100,75,100,100,100,95
Wonder Man,Simon Williams,Simon Williams,Good,Marvel Comics,90,100,55,90,65,65,78
Wonder Woman (GAM),Bekka,,Neutral,DC Comics,100,100,70,65,100,100,89
Wonder Woman (Kingdom Come),Diana Of Themyscira,,Good,DC Comics,95,100,80,100,100,100,96
Wonder Woman,Diana Prince,Diana of Themyscira,Good,DC Comics,95,100,80,100,100,100,96
Wong (MCU),Wong,,Good,Marvel Comics,70,60,40,45,100,70,64
Wong,Wong,Wong,Good,Marvel Comics,0,0,0,0,0,0,0
World Breaker Hulk,Bruce Banner,Robert Bruce Banner,Good,Marvel Comics,85,100,85,100,100,85,93
Wotan,Karel Wotan,,Bad,DC Comics,85,15,20,65,100,60,58
Wu,Wu,Wu,Good,,100,70,55,70,100,100,83
Wyatt Wingfoot,Wyatt Wingfoot,Wyatt Wingfoot,Good,Marvel Comics,60,10,10,0,0,55,23
X-23 (FOX),Laura Kinney,,Good,Marvel Comics,90,65,70,85,85,80,79
X-23,Laura Kinney,Laura Kinney,Good,Marvel Comics,90,25,40,100,55,95,68
X-Man,Nate Grey,Nate Grey,Good,Marvel Comics,95,55,55,95,100,85,81
XS (CW),Nora West-Allen,,,,90,55,100,60,100,65,78
Yang,Yang Xiao Long,Yang Xiao Long,Good,,70,100,100,95,100,100,94
YellowJacket (MCU),Darren Cross,Darren Cross,Bad,Marvel Comics,95,35,60,70,70,70,67
Yellowjacket,Hank Pym,Henry Jonathan Pym,Good,Marvel Comics,95,10,10,30,10,15,28
Yo-yo (MCU),Elena Rodriguez,Elena Rodriguez,Good,Marvel Comics,80,35,100,40,60,90,68
Yoda,Yoda,Yoda,Good,George Lucas,95,50,35,25,100,90,66
Yondu (MCU),Yondu,,,Marvel Comics,85,25,40,40,60,80,55
Yondu,Yondu Udonta,,Neutral,Marvel Comics,75,15,30,50,60,80,52
Yukio (FOX),Yukio,Yukio,Good,Marvel Comics,80,10,50,30,45,100,53
Yukio,Yukio (full name unrevealed),Yukio (full name unrevealed),Good,Marvel Comics,0,0,0,0,0,0,0
Zatanna,Zatanna Zatara,Zatanna Zatara,Good,DC Comics,90,10,25,30,100,55,52
Zero,DWN-∞: Zero,DWN-∞: Zero,Good,Capcom,80,100,100,100,100,80,93
Zoom (New 52),Hunter Zolomon,,Bad,DC Comics,95,50,100,75,100,80,83
Zoom,Hunter Zolomon,Hunter Zolomon,Bad,DC Comics,75,10,100,30,100,30,58
Zzzax,,,Bad,Marvel Comics,45,80,75,95,80,50,71
